Table,Column,DataType,Description,BusinessMeaning
DimDate,DateKey,Integer,"Surrogate key, YYYYMMDD",Join key from fact tables to DimDate
DimDate,Date,Date,Calendar date,Human-readable date
DimDate,Year,Integer,Calendar year,Used for YoY analysis
DimDate,Quarter,Text,Calendar quarter (Q1-Q4),Used for QoQ analysis
DimDate,MonthNumber,Integer,Month number 1-12,Sorting months correctly
DimDate,MonthName,Text,Full month name,Display in visuals
DimDate,MonthYear,Text,Abbreviated month + year,Axis label for trend charts
DimDate,WeekOfYear,Integer,ISO week number,Weekly trend analysis
DimDate,DayOfWeek,Integer,Day number 1-7,Weekday pattern analysis
DimDate,DayName,Text,Full weekday name,Display / weekday seasonality
DimDate,IsWeekend,Boolean,True if Saturday/Sunday,Filter business-day-only SLA calcs
DimDate,FinancialYear,Text,Australian FY (Jul-Jun),AU-aligned FY reporting
DimLocation,LocationKey,Integer,Surrogate key,Join key from FactQuote
DimLocation,State,Text,Australian state/territory code,Geographic analysis
DimLocation,City,Text,City name,Geographic drill-down
DimLocation,Region,Text,Metro or Regional classification,Metro vs regional risk/volume analysis
DimLocation,FloodRiskBaseline,Text,Baseline flood risk tier for the state,Drives synthetic flood flag; usable for risk commentary
DimLocation,BushfireRiskBaseline,Text,Baseline bushfire risk tier for the state,Drives synthetic bushfire flag; usable for risk commentary
DimBroker,BrokerID,Text,Unique broker identifier,"Primary key, join to fact tables"
DimBroker,BrokerName,Text,Fictional broker company name,Broker performance reporting
DimBroker,State,Text,Broker's home state,Broker geographic segmentation
DimBroker,City,Text,Broker's home city,Broker geographic segmentation
DimBroker,BrokerType,Text,Retail/Wholesale/Corporate/Regional Broker,Broker segment analysis
DimBroker,BrokerSize,Text,Small/Medium/Large,Broker tiering for volume analysis
DimBroker,ActiveStatus,Text,Active/Inactive,Filter current vs historical brokers
DimBroker,TypicalMonthlyVolume,Integer,Approximate typical monthly submissions,Benchmark actual vs typical volume
DimEmployee,EmployeeID,Text,Unique employee identifier,"Primary key, join to fact tables"
DimEmployee,EmployeeName,Text,Fictional employee name,Employee performance reporting
DimEmployee,Role,Text,Quoting Agent/Quality Reviewer/Underwriter/Senior Underwriter/Team Leader,Role-based analysis
DimEmployee,Team,Text,Internal team name,Team-level performance rollups
DimEmployee,Location,Text,Office location,Organizational reporting
DimEmployee,JoiningDate,Date,Date employee joined the organization,Tenure analysis
DimEmployee,ExperienceLevel,Text,Junior/Mid/Senior,Experience vs performance analysis
DimEmployee,ActiveStatus,Text,Active/Inactive,Filter current staff
DimProperty,PropertyProfileKey,Integer,Surrogate key,Join key from FactQuote
DimProperty,Classification,Text,Residential or Commercial,Primary risk segmentation
DimProperty,PropertyType,Text,House/Apartment/Office/Warehouse etc.,Property type analysis
DimProperty,ConstructionType,Text,Brick/Concrete/Steel/Timber/Mixed,Construction risk analysis
DimProperty,OccupancyType,Text,Owner Occupied/Tenant Occupied/Vacant/etc.,Occupancy risk analysis
DimProperty,RatingFactorTier,Text,Low/Medium/High/Very High rating tier,Simplified risk tiering for reporting
DimErrorCategory,ErrorCategoryID,Text,Unique error category code,"Primary key, join from FactQualityReview"
DimErrorCategory,ErrorCategoryName,Text,"e.g. Building Value, Address, Coverage",Error category analysis
DimErrorCategory,TypicalSeverity,Text,Most common severity for this category,Reference for expected impact
DimReferralReason,ReferralReasonID,Text,Unique referral reason code,"Primary key, join from FactUnderwriting"
DimReferralReason,ReferralReasonName,Text,"e.g. High Sum Insured, Flood Exposure",Referral driver analysis
DimStatus,StatusID,Text,Unique status code,"Primary key, join from FactBinding"
DimStatus,StatusName,Text,"e.g. Bound, Lost - To Competitor",Outcome reporting
DimStatus,StatusCategory,Text,Bound/Lost/Pending,High-level outcome grouping
FactQuote,QuoteID,Text,Unique quote request identifier,"Primary key, grain of the table; joins to all downstream facts"
FactQuote,ReceivedDateKey,Integer,FK to DimDate (received date),Active date relationship for the model
FactQuote,ReceivedDateTime,Datetime/Text,Timestamp broker request was received,SLA start point (note: some rows in alternate format - cleaning exercise)
FactQuote,BrokerID,Text,FK to DimBroker,Broker analysis
FactQuote,QuotingAgentID,Text,FK to DimEmployee (rater entry agent),Employee productivity analysis
FactQuote,LocationKey,Integer,FK to DimLocation,Geographic analysis
FactQuote,PropertyProfileKey,Integer,FK to DimProperty,Property/risk analysis
FactQuote,BuildingValue,Decimal,Building value in AUD,Premium driver
FactQuote,ContentsValue,Decimal,Contents value in AUD,Premium driver
FactQuote,SumInsured,Decimal,Building + contents value in AUD,Core exposure measure
FactQuote,PropertyAge,Integer,Property age in years,Risk driver
FactQuote,NumProperties,Integer,Number of properties in the request,Multi-property risk analysis
FactQuote,NumFloors,Integer,Number of floors,Risk driver (mainly commercial)
FactQuote,ClaimsCount5Yr,Integer,Number of claims in prior 5 years,Risk/premium driver
FactQuote,ClaimsAmount5Yr,Decimal,Total prior claims amount AUD,Risk/premium driver
FactQuote,RecentClaimIndicator,Boolean,1 if a claim occurred recently,Risk flag
FactQuote,FloodRiskFlag,Boolean,1 if property is flood-exposed,Risk flag / referral driver
FactQuote,BushfireRiskFlag,Boolean,1 if property is bushfire-exposed,Risk flag / referral driver
FactQuote,TheftRiskFlag,Boolean,1 if elevated theft risk,Risk flag
FactQuote,HighRiskLocationFlag,Boolean,1 if location is high-risk overall,Risk flag
FactQuote,RiskScore,Decimal,Composite risk score 0-100,"Core risk measure, drives premium & referral"
FactQuote,RequestedCoverage,Text,Building & Contents/Building Only/Contents Only,Coverage analysis
