BindingID,QuoteID,StatusID,BrokerAcceptanceDate,BindingDate,BoundFlag,FinalPremium,PolicyPropertyCount,TurnaroundDaysQSTBtoOutcome
BIND000001,Q036597,STA01,2026-03-11,2026-03-16,True,2380.17,1,7.8
BIND000002,Q011134,STA01,2025-01-10,2025-01-10,True,2870.02,1,6.6
BIND000003,Q002787,STA01,2024-08-08,2024-08-09,True,910.22,1,5.1
BIND000004,Q014295,STA01,2025-02-16,2025-02-18,True,2292.99,1,8.6
BIND000005,Q031124,STA01,2025-12-09,2025-12-14,True,2610.52,1,11.2
BIND000006,Q033523,STA06,,,False,33241.26,0,5.5
BIND000007,Q031314,STA06,,,False,11495.59,0,13.7
BIND000008,Q003938,STA02,,,False,17097.5,0,7.2
BIND000009,Q039318,STA03,,,False,27438.41,0,11.5
BIND000010,Q011259,STA02,,,False,4303.98,0,28.9
BIND000011,Q022865,STA04,,,False,14908.87,0,6.7
BIND000012,Q016670,STA01,2025-05-07,2025-05-08,True,2219.25,1,12.0
BIND000013,Q006902,STA01,2024-10-24,2024-10-28,True,29037.11,1,6.3
BIND000014,Q008260,STA08,,,False,2659.71,0,5.3
BIND000015,Q009925,STA08,,,False,10813.41,0,11.2
BIND000016,Q025396,STA02,,,False,1707.97,0,2.3
BIND000017,Q037658,STA01,2026-03-19,2026-03-22,True,1812.82,1,4.2
BIND000018,Q012375,STA04,,,False,107727.19,0,4.3
BIND000019,Q024448,STA03,,,False,2027.8,0,14.4
BIND000020,Q007405,STA01,2024-11-08,2024-11-16,True,2520.09,1,12.6
BIND000021,Q016996,STA02,,,False,14532.9,0,7.0
BIND000022,Q018602,STA01,2025-05-26,2025-05-27,True,3434.51,1,14.7
BIND000023,Q036802,STA01,2026-03-26,2026-03-27,True,2431.47,1,3.2
BIND000024,Q009255,STA06,,,False,3234.35,0,4.5
BIND000025,Q015999,STA03,,,False,2360.08,0,2.7
BIND000026,Q040546,STA10,,,False,,0,
BIND000027,Q018118,STA04,,,False,58049.32,0,7.4
BIND000028,Q014280,STA08,,,False,14633.72,0,6.7
BIND000029,Q012331,STA01,2025-01-28,2025-01-31,True,15025.67,4,6.6
BIND000030,Q014637,STA02,,,False,17930.99,0,17.7
BIND000031,Q035493,STA05,,,False,2374.85,0,1.5
BIND000032,Q001828,STA03,,,False,1565.35,0,2.8
BIND000033,Q035565,STA06,,,False,8302.67,0,1.1
BIND000034,Q039188,STA01,2026-04-18,2026-04-22,True,7739.23,5,8.2
