ReviewID,QuoteID,QuotingAgentID,ReviewerID,ReviewDate,ReviewSequence,ErrorFound,ErrorCategoryID,ErrorSeverity,ReworkRequired,ErrorResolved,ReworkDurationHours,FirstTimeRight
REV000001,Q037016,E0020,E0013,2026-03-12,1,False,,,False,True,,True
REV000002,Q026742,E0019,E0028,2025-10-31,1,False,,,False,True,,True
REV000003,Q032237,E0003,E0029,2025-12-14,1,False,,,False,True,,True
REV000004,Q011687,E0027,E0045,2025-01-29,1,False,,,False,True,,True
REV000005,Q031179,E0055,E0029,2025-12-04,1,False,,,False,True,,True
REV000006,Q027354,E0019,E0035,2025-10-07,1,False,,,False,True,,True
REV000007,Q008790,E0032,E0030,2024-11-25,1,True,ERR11,Medium,True,True,1.33,False
REV000008,Q008790,E0032,E0030,2024-11-25,2,False,,,False,True,,False
REV000009,Q021091,E0023,E0013,2025-06-17,1,False,,,False,True,,True
REV000010,Q006697,E0025,E0053,2024-10-20,1,False,,,False,True,,True
REV000011,Q022400,E0015,E0030,2025-07-28,1,True,ERR02,Low,False,True,,False
REV000012,Q003503,E0020,E0042,2024-09-25,1,False,,,False,True,,True
REV000013,Q010873,E0023,E0005,2025-01-01,1,True,ERR12,Medium,True,True,1.56,False
REV000014,Q010873,E0023,E0005,2025-01-01,2,False,,,False,True,,False
REV000015,Q036534,E0023,E0029,2026-03-09,1,False,,,False,True,,True
REV000016,Q036002,E0055,E0013,2026-03-15,1,False,,,False,True,,True
REV000017,Q008682,E0038,E0013,2024-11-05,1,False,,,False,True,,True
REV000018,Q000930,E0054,E0013,2024-06-09,1,False,,,False,True,,True
REV000019,Q016821,E0033,E0013,2025-04-22,1,False,,,False,True,,True
REV000020,Q016673,E0032,E0028,2025-04-05,1,False,,,False,True,,True
REV000021,Q037972,E0039,E0037,2026-04-10,1,False,,,False,True,,True
REV000022,Q022697,E0015,E0035,2025-08-22,1,False,,,False,True,,True
REV000023,Q002869,E0039,E0006,2024-08-26,1,True,ERR05,High,True,True,0.31,False
REV000024,Q002869,E0039,E0006,2024-08-27,2,False,,,False,True,,False
REV000025,Q032244,E0020,E0006,2025-12-06,1,False,,,False,True,,True
REV000026,Q017537,E0039,E0042,2025-04-13,1,False,,,False,True,,True
REV000027,Q038708,E0027,E0053,2026-04-15,1,False,,,False,True,,True
REV000028,Q009299,E0003,E0005,2024-12-28,1,False,,,False,True,,True
REV000029,Q011549,E0012,E0013,2025-01-28,1,False,,,False,True,,True
REV000030,Q032175,E0054,E0013,2025-12-16,1,False,,,False,True,,True
REV000031,Q016488,E0021,E0037,2025-04-05,1,False,,,False,True,,True
REV000032,Q002950,E0016,E0013,2024-08-15,1,False,,,False,True,,True
REV000033,Q041018,E0039,E0018,2026-05-03,1,False,,,False,True,,True
REV000034,Q028611,E0032,E0053,2025-11-21,1,False,,,False,True,,True
REV000035,Q032882,E0003,E0035,2026-01-10,1,False,,,False,True,,True
REV000036,Q015340,E0052,E0037,2025-03-31,1,False,,,False,True,,True
REV000037,Q002363,E0001,E0013,2024-08-08,1,False,,,False,True,,True
REV000038,Q003101,E0015,E0018,2024-08-04,1,False,,,False,True,,True
REV000039,Q041519,E0015,E0028,2026-05-21,1,False,,,False,True,,True
REV000040,Q006384,E0032,E0029,2024-10-04,1,False,,,False,True,,True
REV000041,Q031239,E0001,E0037,2025-12-16,1,False,,,False,True,,True
REV000042,Q011069,E0020,E0037,2025-01-22,1,False,,,False,True,,True
REV000043,Q034152,E0052,E0030,2026-02-01,1,False,,,False,True,,True
REV000044,Q029294,E0031,E0018,2025-11-18,1,True,ERR14,Low,True,True,1.0,False
REV000045,Q029294,E0031,E0018,2025-11-18,2,False,,,False,True,,False
REV000046,Q002267,E0016,E0028,2024-08-05,1,True,ERR02,High,True,True,3.52,False
REV000047,Q002267,E0016,E0028,2024-08-06,2,False,,,False,True,,False
REV000048,Q035951,E0033,E0051,2026-03-31,1,False,,,False,True,,True
REV000049,Q020054,E0019,E0013,2025-06-13,1,False,,,False,True,,True
REV000050,Q011511,E0025,E0051,2025-01-25,1,False,,,False,True,,True
REV000051,Q015864,E0019,E0013,2025-03-10,1,False,,,False,True,,True
REV000052,Q025341,E0003,E0029,2025-09-30,1,False,,,False,True,,True
REV000053,Q024295,E0031,E0018,2025-09-03,1,False,,,False,True,,True
REV000054,Q032683,E0039,E0053,2026-01-04,1,True,ERR09,Medium,True,True,3.88,False
REV000055,Q032683,E0039,E0053,2026-01-05,2,False,,,False,True,,False
REV000056,Q023675,E0016,E0005,2025-08-19,1,True,ERR11,Low,True,True,3.46,False
REV000057,Q023675,E0016,E0005,2025-08-19,2,False,,,False,True,,False
REV000058,Q019175,E0019,E0053,2025-05-14,1,False,,,False,True,,True
REV000059,Q037731,E0015,E0030,2026-03-22,1,False,,,False,True,,True
REV000060,Q015225,E0015,E0013,2025-03-19,1,False,,,False,True,,True
REV000061,Q002730,E0043,E0006,2024-08-06,1,False,,,False,True,,True
REV000062,Q019392,E0039,E0045,2025-05-13,1,False,,,False,True,,True
REV000063,Q030540,E0020,E0051,2025-12-05,1,False,,,False,True,,True
REV000064,Q035987,E0033,E0045,2026-03-15,1,False,,,False,True,,True
REV000065,Q036435,E0019,E0018,2026-03-24,1,False,,,False,True,,True
REV000066,Q039125,E0020,E0045,2026-04-11,1,False,,,False,True,,True
REV000067,Q035274,E0020,E0042,2026-02-27,1,True,ERR12,Critical,True,True,0.31,False
REV000068,Q035274,E0020,E0042,2026-02-27,2,False,,,False,True,,False
REV000069,Q027846,E0015,E0005,2025-10-07,1,False,,,False,True,,True
REV000070,Q033435,E0023,E0051,2026-01-09,1,False,,,False,True,,True
REV000071,Q023407,E0003,E0037,2025-08-20,1,False,,,False,True,,True
REV000072,Q020255,E0052,E0005,2025-06-18,1,False,,,False,True,,True
REV000073,Q014775,E0039,E0045,2025-03-18,1,False,,,False,True,,True
REV000074,Q012283,E0039,E0035,2025-01-11,1,False,,,False,True,,True
REV000075,Q034498,E0038,E0045,2026-02-06,1,False,,,False,True,,True
REV000076,Q029595,E0033,E0053,2025-11-07,1,False,,,False,True,,True
REV000077,Q038348,E0012,E0030,2026-04-04,1,True,ERR04,Low,False,True,,False
REV000078,Q037955,E0031,E0006,2026-04-16,1,False,,,False,True,,True
REV000079,Q016875,E0032,E0013,2025-04-16,1,True,ERR15,High,True,True,4.21,False
REV000080,Q016875,E0032,E0013,2025-04-17,2,False,,,False,True,,False
REV000081,Q033016,E0026,E0030,2026-01-27,1,True,ERR15,Low,False,True,,False
REV000082,Q023620,E0003,E0005,2025-08-31,1,False,,,False,True,,True
REV000083,Q024655,E0038,E0029,2025-09-30,1,False,,,False,True,,True
REV000084,Q035763,E0054,E0005,2026-02-24,1,False,,,False,True,,True
REV000085,Q040434,E0026,E0030,2026-05-20,1,True,ERR04,Critical,True,True,4.1,False
REV000086,Q040434,E0026,E0030,2026-05-21,2,False,,,False,True,,False
REV000087,Q017998,E0055,E0042,2025-04-26,1,False,,,False,True,,True
REV000088,Q016644,E0054,E0051,2025-04-17,1,False,,,False,True,,True
REV000089,Q018626,E0039,E0029,2025-05-03,1,False,,,False,True,,True
REV000090,Q038645,E0050,E0029,2026-04-26,1,False,,,False,True,,True
REV000091,Q016447,E0020,E0029,2025-04-22,1,False,,,False,True,,True
REV000092,Q023424,E0039,E0042,2025-08-22,1,True,ERR02,High,True,True,1.62,False
REV000093,Q023424,E0039,E0042,2025-08-22,2,False,,,False,True,,False
REV000094,Q010819,E0054,E0029,2024-12-30,1,False,,,False,True,,True
