QuoteID,ReceivedDateKey,ReceivedDateTime,BrokerID,QuotingAgentID,LocationKey,PropertyProfileKey,BuildingValue,ContentsValue,SumInsured,PropertyAge,NumProperties,NumFloors,ClaimsCount5Yr,ClaimsAmount5Yr,RecentClaimIndicator,FloodRiskFlag,BushfireRiskFlag,TheftRiskFlag,HighRiskLocationFlag,RiskScore,RequestedCoverage,AssignedDateTime,RaterCompletedDateTime,RaterStatus,ProcessingDurationHours,ReworkAtRaterFlag
Q000001,20240607,2024-06-07 08:49:00,B0038,E0032,9,43,3062457.61,592106.99,3654564.6,61,1,6,0,0.0,0,0,0,0,0,67.0,Building & Contents,2024-06-07 09:21:20.092040368,2024-06-07 21:15:26.685428913,Completed,11.9,0
Q000002,20240626,2024-06-26 13:32:00,B0025,E0055,5,6,538864.51,134746.01,673610.52,39,1,2,1,2153.55,0,0,1,0,1,65.6,Building & Contents,2024-06-26 16:59:47.646263276,2024-06-26 23:35:13.703494685,Completed,6.59,0
Q000003,20240629,2024-06-29 10:23:00,B0029,E0012,1,41,506941.66,183473.97,690415.63,27,1,6,0,0.0,0,1,0,0,1,68.9,Building Only,2024-06-29 19:56:34.905902229,2024-06-29 23:58:09.399988635,Completed,4.03,0
Q000004,20240630,2024-06-30 11:24:00,B0030,E0043,3,4,298488.26,103463.75,401952.0,19,1,2,0,0.0,0,0,0,1,0,35.8,Building Only,2024-06-30 18:02:49.785393725,2024-07-01 03:42:58.759708473,Completed,9.67,0
Q000005,20240624,2024-06-24 14:02:00,B0015,E0032,2,33,765683.23,194913.47,960596.7,45,1,1,0,0.0,0,1,1,0,1,71.0,Building Only,2024-06-25 01:57:49.333774842,2024-06-25 03:01:04.923594944,Completed,1.05,0
Q000006,20240607,2024-06-07 17:32:00,B0016,E0025,3,43,5040340.58,623010.65,5663351.23,39,1,1,2,40071.86,1,0,0,0,0,73.5,Building & Contents,2024-06-08 03:27:16.772660378,2024-06-08 08:48:30.499095762,Completed,5.35,0
Q000007,20240610,2024-06-10 17:35:00,B0017,E0015,4,6,369197.97,101074.01,470271.99,52,1,1,1,16198.7,1,0,1,0,1,45.1,Building & Contents,2024-06-10 19:14:44.680879345,2024-06-10 21:50:14.042903244,Completed,2.59,0
Q000008,20240627,2024-06-27 14:38:00,B0030,E0015,2,86,1264878.03,224634.38,1489512.4,25,1,4,0,0.0,0,0,0,0,0,51.0,Building & Contents,2024-06-27 18:20:55.485434346,2024-06-27 20:58:38.393342655,Completed,2.63,0
Q000009,20240611,2024-06-11 16:05:00,B0038,E0033,9,18,374336.66,79325.3,453661.95,11,1,1,0,0.0,0,0,0,0,0,34.9,Building & Contents,2024-06-11 20:27:49.430102601,2024-06-11 23:52:08.836991441,Completed,3.41,0
Q000010,20240615,2024-06-15 16:56:00,B0035,E0020,2,95,2981988.27,443893.37,3425881.64,59,1,7,0,0.0,0,0,0,0,0,62.6,Building & Contents,2024-06-15 17:40:38.871474009,2024-06-15 21:07:42.774069068,Completed,3.45,0
Q000011,20240620,2024-06-20 12:20:00,B0030,E0021,1,2,356872.29,66600.44,423472.72,57,1,2,0,0.0,0,0,0,0,0,37.1,Contents Only,2024-06-21 07:07:08.863961344,2024-06-21 16:19:41.167999748,Completed,9.21,0
Q000012,20240616,2024-06-16 14:31:00,B0007,E0032,3,89,611556.22,260896.86,872453.08,52,4,5,0,0.0,0,0,0,0,1,56.6,Building & Contents,2024-06-16 20:18:48.801295393,2024-06-17 00:40:34.628818029,Completed,4.36,0
Q000013,20240626,2024-06-26 17:01:00,B0018,E0015,1,48,1199563.07,170964.75,1370527.83,28,5,5,1,10640.84,0,0,0,0,0,66.5,Building & Contents,2024-06-26 23:41:33.687177971,2024-06-27 04:59:41.978312893,Completed,5.3,0
Q000014,20240617,2024-06-17 13:07:00,B0021,E0032,7,31,289872.12,86233.03,376105.15,45,1,2,0,0.0,0,0,0,0,0,54.4,Contents Only,2024-06-17 13:14:31.278027122,2024-06-17 18:07:33.917281193,Completed,4.88,0
Q000015,20240619,2024-06-19 10:47:00,B0033,E0020,2,20,350082.02,115222.66,465304.68,43,1,2,0,0.0,0,0,0,0,1,55.6,Building & Contents,2024-06-19 18:20:09.897741724,2024-06-19 21:20:37.732237152,Completed,3.01,0
Q000016,20240603,2024-06-03 15:37:00,B0036,E0026,9,74,1325509.38,451647.93,1777157.31,15,1,6,0,0.0,0,0,0,0,0,63.1,Building & Contents,2024-06-03 18:02:05.252148876,2024-06-04 00:28:55.686023138,Completed,6.45,0
Q000017,20240620,2024-06-20 10:23:00,B0022,E0023,5,10,783732.54,251182.74,1034915.27,3,1,2,0,0.0,0,0,0,0,0,42.8,Building & Contents,2024-06-20 12:11:00.057569180,2024-06-20 15:04:40.030688185,Completed,2.89,0
Q000018,20240627,2024-06-27 10:36:00,B0036,E0023,9,8,428178.79,128061.92,556240.71,25,1,2,0,0.0,0,0,1,0,1,49.7,Building Only,2024-06-27 15:03:01.446985719,2024-06-27 18:46:09.389025102,Completed,3.72,0
Q000019,20240614,2024-06-14 17:25:00,B0021,E0020,7,17,534195.28,168508.85,702704.13,6,1,2,0,0.0,0,0,1,0,1,52.7,Building Only,2024-06-14 17:46:30.132740103,2024-06-15 01:55:14.024700783,Completed,8.15,0
Q000020,20240619,2024-06-19 09:26:00,B0014,E0025,7,40,607084.72,91598.83,698683.55,12,1,1,0,0.0,0,0,0,0,0,53.5,Contents Only,2024-06-19 11:26:41.993426064,2024-06-19 16:05:13.374960472,Completed,4.64,0
Q000021,20240609,2024-06-09 12:28:00,B0007,E0026,2,10,323464.21,111717.64,435181.85,6,1,2,0,0.0,0,1,0,0,1,55.4,Contents Only,2024-06-09 20:58:05.597397826,2024-06-09 23:10:15.335005254,Completed,2.2,0
Q000022,20240604,2024-06-04 08:21:00,B0016,E0032,1,76,2038162.7,687633.99,2725796.69,14,2,1,0,0.0,0,1,0,1,1,86.8,Building Only,2024-06-04 17:42:42.921607597,2024-06-05 07:10:53.530167091,Completed,13.47,1
Q000023,20240613,2024-06-13 16:41:00,B0022,E0021,6,79,808992.91,259839.33,1068832.23,30,2,6,1,17112.31,0,1,0,0,1,70.7,Contents Only,2024-06-13 19:03:30.270064115,2024-06-13 20:34:36.372855263,Completed,1.52,1
Q000024,20240623,2024-06-23 08:33:00,B0034,E0050,1,70,1692087.26,172501.33,1864588.59,18,1,5,0,0.0,0,0,0,0,0,56.4,Building & Contents,2024-06-23 12:40:53.277084325,2024-06-23 21:23:55.819696856,Completed,8.72,0
Q000025,20240610,2024-06-10 15:50:00,B0038,E0054,7,66,748552.52,317883.18,1066435.7,2,1,4,0,0.0,0,0,0,0,0,65.5,Building & Contents,2024-06-10 18:34:28.303929998,2024-06-10 20:08:54.107901867,Completed,1.57,0
Q000026,20240604,2024-06-04 08:45:00,B0019,E0020,2,6,422577.53,96933.3,519510.82,37,1,1,2,27078.7,1,0,0,0,0,49.9,Building Only,2024-06-04 09:22:22.137980044,2024-06-04 10:41:54.976440202,Completed,1.33,0
Q000027,20240609,2024-06-09 11:54:00,B0017,E0001,6,5,357266.81,116276.89,473543.7,41,1,2,0,0.0,0,0,0,0,0,51.4,Building & Contents,2024-06-09 13:35:19.595172616,2024-06-09 16:51:52.798380839,Completed,3.28,0
Q000028,20240612,2024-06-12 10:25:00,B0026,E0052,10,49,747222.29,216713.05,963935.35,42,2,4,0,0.0,0,0,0,0,0,50.2,Building & Contents,2024-06-12 12:47:06.032997706,2024-06-12 17:49:07.100207839,Completed,5.03,0
Q000029,20240614,2024-06-14 16:41:00,B0018,E0003,1,81,2127431.2,919820.88,3047252.08,5,2,2,0,0.0,0,0,0,0,0,77.9,Building & Contents,2024-06-14 20:53:05.591403062,2024-06-14 21:55:01.523947817,Completed,1.03,0
Q000030,20240621,2024-06-21 16:02:00,B0014,E0031,8,50,1208113.38,410650.84,1618764.22,60,1,7,1,3376.66,1,0,1,0,1,75.6,Building & Contents,2024-06-21 16:52:18.053159088,2024-06-22 02:02:07.417581954,Completed,9.16,0
Q000031,20240604,2024-06-04 11:10:00,B0035,E0019,3,15,350216.36,107216.45,457432.81,4,1,1,0,0.0,0,0,0,0,0,31.7,Building & Contents,2024-06-04 22:04:48.987051471,2024-06-05 06:07:36.726477405,Completed,8.05,0
Q000032,20240614,2024-06-14 11:44:00,B0014,E0020,7,12,408394.2,96877.2,505271.4,51,1,2,0,0.0,0,0,0,0,0,30.6,Building & Contents,2024-06-14 14:25:42.581629239,2024-06-14 17:35:49.515197650,Completed,3.17,0
Q000033,20240623,2024-06-23 16:48:00,B0034,E0054,2,6,623079.67,187791.56,810871.22,45,1,2,0,0.0,0,0,0,0,0,48.4,Building & Contents,2024-06-23 18:48:38.211234828,2024-06-23 23:02:23.442527418,Completed,4.23,0
Q000034,20240602,2024-06-02 08:38:00,B0030,E0020,1,35,309548.73,74454.8,384003.53,27,1,2,1,25553.82,0,1,0,0,1,61.9,Building & Contents,2024-06-02 11:00:48.010543969,2024-06-02 15:53:30.279280076,Completed,4.88,0
Q000035,20240628,2024-06-28 13:36:00,B0017,E0016,6,62,1166176.21,208966.0,1375142.21,56,5,3,0,0.0,0,0,0,0,0,59.8,Building & Contents,2024-06-28 14:04:34.065223922,2024-06-28 17:07:19.408215096,Completed,3.05,0
Q000036,20240619,2024-06-19 15:56:00,B0036,E0031,8,44,803329.64,94481.88,897811.52,55,1,6,0,0.0,0,0,0,0,0,53.2,Building & Contents,2024-06-19 18:54:32.789006711,2024-06-19 23:38:55.955284740,Completed,4.74,1
Q000037,20240616,2024-06-16 14:34:00,B0017,E0052,6,14,389191.93,85618.51,474810.44,38,1,1,1,1843.7,1,1,0,0,1,66.2,Building & Contents,2024-06-16 20:25:24.848928785,2024-06-17 04:03:21.000799339,Completed,7.63,0
