UnderwritingID,QuoteID,UnderwriterID,UnderwritingDate,RiskScore,Premium,PremiumRange,UnderwritingDecision,IndiaEligibleFlag,ReferredToAustraliaFlag,ReferralReasonID,AustralianUnderwriterDecision,ReferralTurnaroundHours,UnderwritingTurnaroundHours,QSTBDate,FinalPremium,QuoteValidityDays,CommunicationStatus
UW000001,Q036597,E0047,2026-03-08,28.7,2380.17,"$1,000-$2,499",Approved,True,False,,,,6.62,2026-03-09,2380.17,14.0,Sent
UW000002,Q011134,E0014,2025-01-02,47.0,2870.02,"$2,500-$4,999",Approved,True,False,,,,34.4,2025-01-04,2870.02,21.0,No Response
UW000003,Q002787,E0009,2024-08-04,29.6,910.22,"< $1,000",Approved,True,False,,,,9.8,2024-08-04,910.22,30.0,Sent
UW000004,Q014295,E0002,2025-02-09,52.7,2292.99,"$1,000-$2,499",Approved,True,False,,,,3.29,2025-02-10,2292.99,45.0,Acknowledged
UW000005,Q031124,E0002,2025-12-03,51.7,2610.52,"$2,500-$4,999",Approved,True,False,,,,6.8,2025-12-03,2610.52,14.0,Sent
UW000006,Q033523,E0047,2026-01-20,64.5,33241.26,"$25,000-$49,999",Approved,False,True,REF02,Approved with Conditions,7.32,17.91,2026-01-21,33241.26,45.0,Acknowledged
UW000007,Q031314,E0011,2025-12-08,63.5,11495.59,"$10,000-$24,999",Approved,True,False,,,,6.08,2025-12-08,11495.59,30.0,Acknowledged
UW000008,Q003938,E0040,2024-09-30,67.9,17097.5,"$10,000-$24,999",Approved,True,False,,,,8.64,2024-09-30,17097.5,21.0,Sent
UW000009,Q039318,E0017,2026-04-25,69.7,27438.41,"$25,000-$49,999",Approved,True,False,,,,1.62,2026-04-25,27438.41,30.0,Acknowledged
UW000010,Q011259,E0024,2025-01-04,56.4,4303.98,"$2,500-$4,999",Approved,True,False,,,,10.96,2025-01-04,4303.98,21.0,Sent
UW000011,Q022865,E0017,2025-08-26,62.5,14908.87,"$10,000-$24,999",Approved,False,True,REF03,Approved,33.75,17.11,2025-08-28,14908.87,30.0,Acknowledged
UW000012,Q016670,E0046,2025-04-27,36.6,2219.25,"$1,000-$2,499",Approved,True,False,,,,10.77,2025-04-27,2219.25,21.0,Acknowledged
UW000013,Q006902,E0014,2024-10-21,61.0,29037.11,"$25,000-$49,999",Approved,True,False,,,,28.27,2024-10-22,29037.11,45.0,Sent
UW000014,Q008260,E0046,2024-11-02,63.9,2659.71,"$2,500-$4,999",Approved,True,False,,,,9.58,2024-11-02,2659.71,21.0,Sent
UW000015,Q009925,E0047,2024-12-02,73.4,10813.41,"$10,000-$24,999",Approved,True,False,,,,4.84,2024-12-02,10813.41,21.0,Sent
UW000016,Q025396,E0008,2025-09-25,51.1,1707.97,"$1,000-$2,499",Approved,True,False,,,,17.74,2025-09-25,1707.97,21.0,Sent
UW000017,Q037658,E0047,2026-03-17,43.3,1812.82,"$1,000-$2,499",Approved,True,False,,,,9.62,2026-03-18,1812.82,30.0,Sent
UW000018,Q012375,E0034,2025-01-16,73.9,107727.19,"$50,000+",Approved,False,True,REF06,Approved,13.83,9.29,2025-01-17,107727.19,14.0,Sent
UW000019,Q024448,E0040,2025-09-30,51.8,2027.8,"$1,000-$2,499",Approved,True,False,,,,13.39,2025-09-30,2027.8,21.0,Sent
UW000020,Q007405,E0034,2024-11-03,43.2,2520.09,"$2,500-$4,999",Approved,True,False,,,,19.53,2024-11-04,2520.09,14.0,Acknowledged
UW000021,Q016996,E0017,2025-04-13,68.0,14532.9,"$10,000-$24,999",Approved,True,False,,,,15.5,2025-04-14,14532.9,30.0,No Response
UW000022,Q018602,E0008,2025-05-12,53.6,3434.51,"$2,500-$4,999",Approved,True,False,,,,5.15,2025-05-13,3434.51,21.0,Sent
UW000023,Q036710,E0007,2026-03-31,41.5,1066.37,"$1,000-$2,499",Declined,True,False,,,,22.19,,,,N/A
UW000024,Q036802,E0048,2026-03-23,39.9,2431.47,"$1,000-$2,499",Approved,True,False,,,,25.82,2026-03-24,2431.47,30.0,Acknowledged
UW000025,Q009255,E0011,2024-12-19,49.4,3234.35,"$2,500-$4,999",Approved,True,False,,,,15.18,2024-12-20,3234.35,14.0,Sent
UW000026,Q015999,E0046,2025-03-31,45.0,2360.08,"$1,000-$2,499",Approved,True,False,,,,2.28,2025-03-31,2360.08,30.0,Acknowledged
UW000027,Q040546,E0014,2026-06-01,52.3,2406.36,"$1,000-$2,499",Approved,True,False,,,,25.28,2026-06-02,2406.36,30.0,Sent
UW000028,Q018118,E0046,2025-05-26,76.9,58049.32,"$50,000+",Approved,False,True,REF07,Approved with Conditions,19.34,13.43,2025-05-27,58049.32,21.0,No Response
UW000029,Q014280,E0009,2025-02-13,59.5,14633.72,"$10,000-$24,999",Approved,True,False,,,,5.9,2025-02-13,14633.72,30.0,Sent
UW000030,Q012331,E0017,2025-01-25,62.9,15025.67,"$10,000-$24,999",Approved,True,False,,,,5.94,2025-01-25,15025.67,30.0,Acknowledged
UW000031,Q014637,E0017,2025-03-18,69.3,17930.99,"$10,000-$24,999",Approved,False,True,REF06,Approved,29.07,3.82,2025-03-19,17930.99,45.0,Sent
UW000032,Q035493,E0017,2026-02-06,42.5,2374.85,"$1,000-$2,499",Approved,True,False,,,,9.68,2026-02-06,2374.85,21.0,Sent
UW000033,Q001828,E0040,2024-07-27,48.3,1565.35,"$1,000-$2,499",Approved,True,False,,,,8.06,2024-07-28,1565.35,30.0,Acknowledged
UW000034,Q035565,E0017,2026-02-07,53.0,8302.67,"$5,000-$9,999",Approved,True,False,,,,7.32,2026-02-07,8302.67,30.0,Acknowledged
UW000035,Q039188,E0049,2026-04-14,66.2,7739.23,"$5,000-$9,999",Approved,True,False,,,,6.09,2026-04-14,7739.23,14.0,No Response
UW000036,Q025243,E0024,2025-09-28,41.4,1829.05,"$1,000-$2,499",Approved,True,False,,,,13.12,2025-09-29,1829.05,21.0,Acknowledged
UW000037,Q008942,E0034,2024-12-13,66.1,36758.65,"$25,000-$49,999",Approved,True,False,,,,4.02,2024-12-13,36758.65,21.0,Sent
UW000038,Q027958,E0047,2025-11-27,67.2,21169.09,"$10,000-$24,999",Approved,True,False,,,,8.91,2025-11-27,21169.09,30.0,Sent
UW000039,Q003302,E0011,2024-08-08,66.6,25930.22,"$25,000-$49,999",Approved,False,True,REF06,Approved,31.95,2.92,2024-08-09,25930.22,45.0,No Response
UW000040,Q021206,E0046,2025-06-23,39.9,1319.43,"$1,000-$2,499",Approved,True,False,,,,4.22,2025-06-23,1319.43,14.0,Sent
UW000041,Q001298,E0048,2024-07-06,45.8,2550.31,"$2,500-$4,999",Approved,True,False,,,,3.96,2024-07-06,2550.31,30.0,Sent
UW000042,Q031879,E0048,2025-12-30,87.7,35736.06,"$25,000-$49,999",Approved,False,True,REF01,Approved,26.22,15.56,2026-01-01,35736.06,21.0,Sent
UW000043,Q036199,E0049,2026-03-12,70.1,14486.82,"$10,000-$24,999",Approved,True,False,,,,9.25,2026-03-12,14486.82,14.0,Sent
UW000044,Q014447,E0044,2025-02-21,31.3,2304.02,"$1,000-$2,499",Approved,True,False,,,,11.38,2025-02-22,2304.02,30.0,Sent
UW000045,Q034181,E0011,2026-02-01,35.0,4624.75,"$2,500-$4,999",Approved,True,False,,,,9.43,2026-02-01,4624.75,30.0,Acknowledged
UW000046,Q041352,E0034,2026-05-19,44.3,2624.4,"$2,500-$4,999",Approved,True,False,,,,12.75,2026-05-19,2624.4,21.0,Sent
UW000047,Q020890,E0048,2025-06-26,49.4,929.84,"< $1,000",Approved,True,False,,,,18.59,2025-06-26,929.84,45.0,Acknowledged
UW000048,Q036415,E0047,2026-03-09,52.3,2251.48,"$1,000-$2,499",Approved,True,False,,,,27.49,2026-03-10,2251.48,30.0,No Response
UW000049,Q020343,E0014,2025-06-28,53.7,2788.51,"$2,500-$4,999",Approved,True,False,,,,16.59,2025-06-28,2788.51,30.0,Acknowledged
UW000050,Q031185,E0044,2025-12-24,51.8,9220.75,"$5,000-$9,999",Approved,True,False,,,,5.79,2025-12-25,9220.75,45.0,No Response
UW000051,Q017474,E0046,2025-04-15,46.0,2906.11,"$2,500-$4,999",Approved,True,False,,,,12.73,2025-04-16,2906.11,30.0,Sent
UW000052,Q038352,E0011,2026-04-13,48.8,1300.75,"$1,000-$2,499",Approved,True,False,,,,16.6,2026-04-13,1300.75,21.0,Acknowledged
UW000053,Q031950,E0007,2025-12-24,55.9,3328.55,"$2,500-$4,999",Approved,True,False,,,,12.26,2025-12-25,3328.55,30.0,Acknowledged
UW000054,Q000818,E0024,2024-06-06,39.2,1328.88,"$1,000-$2,499",Approved,True,False,,,,27.42,2024-06-07,1328.88,21.0,Sent
UW000055,Q022705,E0008,2025-08-15,51.8,2355.74,"$1,000-$2,499",Approved,True,False,,,,18.79,2025-08-15,2355.74,45.0,Sent
UW000056,Q026373,E0011,2025-10-07,88.1,103352.78,"$50,000+",Approved,False,True,REF04,Approved,25.0,12.68,2025-10-08,103352.78,14.0,Sent
UW000057,Q031129,E0008,2025-12-30,72.2,52392.62,"$50,000+",Approved,False,True,REF12,Approved,19.46,19.82,2026-01-01,52392.62,30.0,Acknowledged
UW000058,Q005860,E0047,2024-10-02,55.0,2811.63,"$2,500-$4,999",Approved,True,False,,,,18.72,2024-10-03,2811.63,30.0,Acknowledged
UW000059,Q035022,E0024,2026-02-24,50.5,3475.05,"$2,500-$4,999",Approved,True,False,,,,24.97,2026-02-25,3475.05,45.0,Sent
UW000060,Q021409,E0014,2025-07-31,70.2,3523.89,"$2,500-$4,999",Approved,True,False,,,,20.9,2025-07-31,3523.89,45.0,Acknowledged
UW000061,Q017358,E0024,2025-04-13,51.7,2170.05,"$1,000-$2,499",Approved,True,False,,,,7.03,2025-04-13,2170.05,14.0,Sent
UW000062,Q039943,E0011,2026-04-16,51.4,1921.74,"$1,000-$2,499",Approved,True,False,,,,13.0,2026-04-16,1921.74,21.0,Acknowledged
